Question,Question_Feature_Image,,Options_Quantity,,optionText-1,isOptionCorrect-1,resultText-1,,optionText-2,isOptionCorrect-2,resultText-2,,optionText-3,isOptionCorrect-3,resultText-3,,optionText-4,isOptionCorrect-4,resultText-4
"What is the supreme law of the land?
",quiz-images/quizimage1.jpg,,4,,The Bill of Rights,FALSE,"The Constitution established the government and laws and it guarantees basic rights to citizens. Without it, we wouldn’t have three branches of government!",,The Declaration of Independence,FALSE,"The Constitution established the government and laws and it guarantees basic rights to citizens. Without it, we wouldn’t have three branches of government!",,The Constitution,TRUE,"The Constitution established the government and laws and it guarantees basic rights to citizens. Without it, we wouldn’t have three branches of government!
",,The Articles of Confederation,FALSE,"The Constitution established the government and laws and it guarantees basic rights to citizens. Without it, we wouldn’t have three branches of government!"
How many amendments does the Constitution have?,quiz-images/quizimage2.jpg,,4,,18,FALSE,"The Constitution was amended 27 times, most recently in 1992. The first 10 amendments are also called the Bill of Rights.",,27,TRUE,"The Constitution was amended 27 times, most recently in 1992. The first 10 amendments are also called the Bill of Rights.",,10,FALSE,"The Constitution was amended 27 times, most recently in 1992. The first 10 amendments are also called the Bill of Rights.",,30,FALSE,"The Constitution was amended 27 times, most recently in 1992. The first 10 amendments are also called the Bill of Rights."
"If both the president and the vice president can no longer serve, who becomes president?",quiz-images/quizimage3.jpg,,4,,Another election is held,FALSE,"After the vice president, the speaker of the house (currently Nancy Pelosi) is next in line to be president. The line-up is designed so presidents can't get anywhere close to naming their own successors.",,The secretary of state,FALSE,"After the vice president, the speaker of the house (currently Nancy Pelosi) is next in line to be president. The line-up is designed so presidents can't get anywhere close to naming their own successors.",,The first lady,FALSE,"After the vice president, the speaker of the house (currently Nancy Pelosi) is next in line to be president. The line-up is designed so presidents can't get anywhere close to naming their own successors.",,The speaker of the house,TRUE,"After the vice president, the speaker of the house (currently Nancy Pelosi) is next in line to be president. The line-up is designed so presidents can't get anywhere close to naming their own successors."
Who was president during the Great Depression and World War II?,quiz-images/quizimage4.jpg,,4,,Franklin Roosevelt,TRUE,"Franklin Delano Roosevelt created “the New Deal,” a program to help handle the economic crisis nicknamed “the Great Depression.” The program aimed to increase jobs and solidify financial security for workers.",,Dwight Eisenhower,FALSE,"Franklin Delano Roosevelt created “the New Deal,” a program to help handle the economic crisis nicknamed “the Great Depression.” The program aimed to increase jobs and solidify financial security for workers.",,Theodore Roosevelt,FALSE,"Franklin Delano Roosevelt created “the New Deal,” a program to help handle the economic crisis nicknamed “the Great Depression.” The program aimed to increase jobs and solidify financial security for workers.",,Woodrow Wilson,FALSE,"Franklin Delano Roosevelt created “the New Deal,” a program to help handle the economic crisis nicknamed “the Great Depression.” The program aimed to increase jobs and solidify financial security for workers."
When was the Declaration of Independence adopted?,quiz-images/quizimage5.jpg,,4,,"October 17th, 1777",FALSE,"Written by Thomas Jefferson, the Declaration of Independence was adopted July 4th, 1776 — hence Independence Day!",,"March 4th, 1801",FALSE,"Written by Thomas Jefferson, the Declaration of Independence was adopted July 4th, 1776 — hence Independence Day!",,"July 4th, 1776",TRUE,"Written by Thomas Jefferson, the Declaration of Independence was adopted July 4th, 1776 — hence Independence Day!",,"September 17th, 1787",,"Written by Thomas Jefferson, the Declaration of Independence was adopted July 4th, 1776 — hence Independence Day!"
"Before he was president, Eisenhower was a general. What war was he in?",quiz-images/quizimage6.jpg,,4,,World War II,TRUE,Eisenhower served in World War II as commander of US forces and supreme commander of the Allies in Europe before serving two terms as president. Talk about an overachiever!,,The Korean War,,Eisenhower served in World War II as commander of US forces and supreme commander of the Allies in Europe before serving two terms as president. Talk about an overachiever!,,World War I,,Eisenhower served in World War II as commander of US forces and supreme commander of the Allies in Europe before serving two terms as president. Talk about an overachiever!,,The Cold War,,Eisenhower served in World War II as commander of US forces and supreme commander of the Allies in Europe before serving two terms as president. Talk about an overachiever!
In what month do we vote for President?,quiz-images/quizimage7.jpg,,4,,October,FALSE,"Presidential elections happen every four years in the U.S.. Some of the candidates for the 2020 election include Donald Trump (for reelection), Bernie Sanders and Kamala Harris.",,November,TRUE,"Presidential elections happen every four years in the U.S.. Some of the candidates for the 2020 election include Donald Trump (for reelection), Bernie Sanders and Kamala Harris.",,December,FALSE,"Presidential elections happen every four years in the U.S.. Some of the candidates for the 2020 election include Donald Trump (for reelection), Bernie Sanders and Kamala Harris.",,January,FALSE,"Presidential elections happen every four years in the U.S.. Some of the candidates for the 2020 election include Donald Trump (for reelection), Bernie Sanders and Kamala Harris."
How many justices are on the Supreme Court?,quiz-images/quizimage8.jpg,,4,,12,FALSE,"There are nine justices who serve for life on the U.S. Supreme Court. On the current court, Clarence Thomas has served the longest — 27 years!",,6,FALSE,"There are nine justices who serve for life on the U.S. Supreme Court. On the current court, Clarence Thomas has served the longest — 27 years!",,15,FALSE,"There are nine justices who serve for life on the U.S. Supreme Court. On the current court, Clarence Thomas has served the longest — 27 years!",,9,TRUE,"There are nine justices who serve for life on the U.S. Supreme Court. On the current court, Clarence Thomas has served the longest — 27 years!"
When was the Constitution written?,quiz-images/quizimage9.jpg,,4,,1787,TRUE,The Constitution was written in 1787 by James Madison — the fourth president of the United States. Nine of the thirteen states had to ratify it before it was adopted.,,1800,FALSE,The Constitution was written in 1787 by James Madison — the fourth president of the United States. Nine of the thirteen states had to ratify it before it was adopted.,,1789,FALSE,The Constitution was written in 1787 by James Madison — the fourth president of the United States. Nine of the thirteen states had to ratify it before it was adopted.,,1776,FALSE,The Constitution was written in 1787 by James Madison — the fourth president of the United States. Nine of the thirteen states had to ratify it before it was adopted.
Who is the “Father of Our Country”?,quiz-images/quizimage7.jpg,,4,,Abraham Lincoln,FALSE,"George Washington is known as the “Father of Our Country.” After all, he’s the first president and on all of our dollar bills!",,Thomas Jefferson,FALSE,"George Washington is known as the “Father of Our Country.” After all, he’s the first president and on all of our dollar bills!",,George Washington,TRUE,"George Washington is known as the “Father of Our Country.” After all, he’s the first president and on all of our dollar bills!",,Barack Obama,FALSE,"George Washington is known as the “Father of Our Country.” After all, he’s the first president and on all of our dollar bills!"
